NCBI_Accession	Directory_Name	Species	Common_Name
GCA_013396555.1	Tachuris_rubrigastra__Many_colored_rush_tyrant__HLtacRub1__GCA_013396555.1	Tachuris rubrigastra	Many colored rush tyrant
GCA_013399735.1	Tyrannus_savana__Fork-tailed_flycatcher__HLtyrSav1__GCA_013399735.1	Tyrannus savana	Fork-tailed flycatcher
GCA_013397615.1	Eolophus_roseicapillus__galah__HLeolRos1__GCA_013397615.1	Eolophus roseicapillus	galah
GCA_010015045.1	Cacatua_leadbeateri__Major_Mitchells_cockatoo__HLcacLea1__GCA_010015045.1	Cacatua leadbeateri	Major Mitchells cockatoo
GCA_013397665.1	Probosciger_aterrimus__palm_cockatoo__HLproAte1__GCA_013397665.1	Probosciger aterrimus	palm cockatoo
GCA_051622115.1	Agapornis_fischeri__Fischers_lovebird__HLagaFisc1__GCA_051622115.1	Agapornis fischeri	Fischers lovebird
GCA_035222285.1	Agapornis_lilianae__Lilians_lovebird__HLagaLili1__GCA_035222285.1	Agapornis lilianae	Lilians lovebird
GCA_035041115.1	Agapornis_nigrigenis__black-cheeked_lovebird__HLagaNigr1__GCA_035041115.1	Agapornis nigrigenis	black-cheeked lovebird
GCA_034783155.1	Agapornis_personatus__Yellow-collared_lovebird__HLagaPers1__GCA_034783155.1	Agapornis personatus	Yellow-collared lovebird
GCA_002631895.1	Agapornis_roseicollis__peach-faced_lovebird__HLagaRos1__GCA_002631895.1	Agapornis roseicollis	peach-faced lovebird
GCA_001420675.1	Amazona_aestiva__blue-fronted_amazon__HLamaAes1__GCA_001420675.1	Amazona aestiva	blue-fronted amazon
GCA_003947215.1	Amazona_collaria__yellow-billed_parrot__HLamaCol1__GCA_003947215.1	Amazona collaria	yellow-billed parrot
GCA_013399615.1	Amazona_guildingii__Saint_Vincent_amazon__HLamaGui1__GCA_013399615.1	Amazona guildingii	Saint Vincent amazon
GCA_039720435.1	Amazona_ochrocephala__Yellow-crowned_parrot__HLamaOchr1A__GCA_039720435.1	Amazona ochrocephala	Yellow-crowned parrot
GCA_000332375.1	Amazona_vittata__Puerto_Rican_parrot__amaVit1__GCA_000332375.1	Amazona vittata	Puerto Rican parrot
GCA_009936445.1	Anodorhynchus_hyacinthinus__hyacinth_macaw__HLanoHya1__GCA_009936445.1	Anodorhynchus hyacinthinus	hyacinth macaw
GCA_010014805.1	Ara_ararauna__blue-and-yellow_macaw__HLaraAra1__GCA_010014805.1	Ara ararauna	blue-and-yellow macaw
GCA_028858755.1	Ara_ararauna__Blue-and-yellow_macaw__HLaraArar2A__GCA_028858755.1	Ara ararauna	Blue-and-yellow macaw
GCA_010014725.1	Ara_chloropterus__red-and-green_macaw__HLaraChl1__GCA_010014725.1	Ara chloropterus	red-and-green macaw
GCA_013433245.1	Ara_glaucogularis__Blue-throated_macaw__HLaraGla2__GCA_013433245.1	Ara glaucogularis	Blue-throated macaw
GCA_010015965.1	Ara_militaris__military_macaw__HLaraMil1__GCA_010015965.1	Ara militaris	military macaw
GCA_917880015.2	Ara_rubrogenys__red-fronted_macaw__HLaraRub1__GCA_917880015.2	Ara rubrogenys	red-fronted macaw
GCA_902168055.1	Aratinga_solstitialis__sun_parakeet__HLaraSol1__GCA_902168055.1	Aratinga solstitialis	sun parakeet
GCA_009867205.1	Aratinga_weddellii__Weddells_conure__HLaraWed1__GCA_009867205.1	Aratinga weddellii	Weddells conure
GCA_025629865.1	Cyanoliseus_patagonus__Burrowing_parakeet__HLcyaPata1__GCA_025629865.1	Cyanoliseus patagonus	Burrowing parakeet
GCA_024337085.1	Diopsittaca_nobilis__Red-shouldered_macaw__HLdioNobi1__GCA_024337085.1	Diopsittaca nobilis	Red-shouldered macaw
GCA_011763535.1	Eclectus_roratus__Eclectus_parrot__HLeclRor1__GCA_011763535.1	Eclectus roratus	Eclectus parrot
GCA_011317185.1	Eupsittula_pertinax__brown-throated_parakeet__HLeupPer1__GCA_011317185.1	Eupsittula pertinax	brown-throated parakeet
GCA_011800095.1	Guaruba_guarouba__Golden_parakeet__HLguaGua1__GCA_011800095.1	Guaruba guarouba	Golden parakeet
GCA_045345405.1	Guaruba_guarouba__Golden_parakeet__HLguaGuar2__GCA_045345405.1	Guaruba guarouba	Golden parakeet
GCF_037157495.1	Lathamus_discolor__Swift_parrot__HLlatDis1A__GCF_037157495.1	Lathamus discolor	Swift parrot
GCA_037157625.1	Lathamus_discolor__Swift_parrot__HLlatDis1B__GCA_037157625.1	Lathamus discolor	Swift parrot
GCA_046563285.1	Loriculus_galgulus__blue-crowned_hanging_parrot__HLlorGal1__GCA_046563285.1	Loriculus galgulus	blue-crowned hanging parrot
GCA_017639245.1	Myiopsitta_monachus__monk_parakeet__HLmyiMon2__GCA_017639245.1	Myiopsitta monachus	monk parakeet
GCA_047054915.1	Neophema_chrysogaster__Orange-bellied_parrot__HLneoChry1__GCA_047054915.1	Neophema chrysogaster	Orange-bellied parrot
GCF_033783945.1	Neopsephotus_bourkii__Bourkes_parrot__HLneoBou1__GCF_033783945.1	Neopsephotus bourkii	Bourkes parrot
GCA_000696875.1	Nestor_notabilis__Kea__HLnesNot1__GCA_000696875.1	Nestor notabilis	Kea
GCF_033815535.1	Pezoporus_flaviventris__Western_Ground_Parrot__HLpezFla1__GCF_033815535.1	Pezoporus flaviventris	Western Ground Parrot
GCF_034315485.1	Pezoporus_occidentalis__Night_parrot__HLpezOcc1__GCF_034315485.1	Pezoporus occidentalis	Night parrot
GCF_028554395.1	Pezoporus_wallicus__Ground_parrot__HLpezWal1__GCF_028554395.1	Pezoporus wallicus	Ground parrot
GCA_011762725.1	Pionus_senilis__white-capped_parrot__HLpioSen1__GCA_011762725.1	Pionus senilis	white-capped parrot
GCA_051527235.1	Platycercus_elegans_elegans__Crimson_rosella__HLplaElegEle1__GCA_051527235.1	Platycercus elegans elegans	Crimson rosella
GCA_963264785.1	Psittacula_echo__Mauritius_parakeet__HLpsiEch1__GCA_963264785.1	Psittacula echo	Mauritius parakeet
GCA_002870145.1	Psittacula_krameri__Rose-ringed_parakeet__HLpsiKra1__GCA_002870145.1	Psittacula krameri	Rose-ringed parakeet
GCA_009867235.1	Psittacus_erithacus__grey_parrot__HLpsiEri1__GCA_009867235.1	Psittacus erithacus	grey parrot
GCA_009867315.1	Psittacus_timneh__Timneh_parrot__HLpsiTim1__GCA_009867315.1	Psittacus timneh	Timneh parrot
GCA_016545565.1	Pyrrhura_cruentata__Blue-throated_parakeet__HLpyrCru1__GCA_016545565.1	Pyrrhura cruentata	Blue-throated parakeet
GCA_010014865.1	Pyrrhura_frontalis__maroon-bellied_parakeet__HLpyrFro1__GCA_010014865.1	Pyrrhura frontalis	maroon-bellied parakeet
GCA_010014965.1	Pyrrhura_griseipectus__Gray-breasted_parakeet__HLpyrGri1__GCA_010014965.1	Pyrrhura griseipectus	Gray-breasted parakeet
GCA_015163975.1	Pyrrhura_lepida__Pearly_parakeet__HLpyrLep1__GCA_015163975.1	Pyrrhura lepida	Pearly parakeet
GCA_011763355.1	Pyrrhura_molinae__Green-cheeked_parakeet__HLpyrMol1__GCA_011763355.1	Pyrrhura molinae	Green-cheeked parakeet
GCA_011763455.1	Pyrrhura_perlata__Crimson_bellied_conure__HLpyrPer1__GCA_011763455.1	Pyrrhura perlata	Crimson bellied conure
